Tm,Year,rOBA,Runs Scored
Arizona Diamondbacks,2025,0.334,791
Athletics,2025,0.327,733
Atlanta Braves,2025,0.321,724
Baltimore Orioles,2025,0.309,677
Boston Red Sox,2025,0.329,786
Chicago Cubs,2025,0.334,793
Chicago White Sox,2025,0.301,647
Cincinnati Reds,2025,0.315,716
Cleveland Guardians,2025,0.295,643
Colorado Rockies,2025,0.302,597
Detroit Tigers,2025,0.319,758
Houston Astros,2025,0.315,686
Kansas City Royals,2025,0.309,651
Los Angeles Angels,2025,0.305,673
Los Angeles Dodgers,2025,0.337,825
Miami Marlins,2025,0.317,709
Milwaukee Brewers,2025,0.33,806
Minnesota Twins,2025,0.314,678
New York Mets,2025,0.336,766
New York Yankees,2025,0.342,849
Philadelphia Phillies,2025,0.336,778
Pittsburgh Pirates,2025,0.298,583
San Diego Padres,2025,0.318,702
Seattle Mariners,2025,0.325,766
San Francisco Giants,2025,0.312,705
St. Louis Cardinals,2025,0.31,689
Tampa Bay Rays,2025,0.317,714
Texas Rangers,2025,0.305,684
Toronto Blue Jays,2025,0.331,798
Washington Nationals,2025,0.31,687
Arizona Diamondbacks,2024,0.341,886
Atlanta Braves,2024,0.321,704
Baltimore Orioles,2024,0.329,786
Boston Red Sox,2024,0.328,751
Chicago Cubs,2024,0.316,736
Chicago White Sox,2024,0.278,507
Cincinnati Reds,2024,0.313,699
Cleveland Guardians,2024,0.312,708
Colorado Rockies,2024,0.31,682
Detroit Tigers,2024,0.304,682
Houston Astros,2024,0.326,740
Kansas City Royals,2024,0.315,735
Los Angeles Angels,2024,0.301,635
Los Angeles Dodgers,2024,0.343,842
Miami Marlins,2024,0.301,637
Milwaukee Brewers,2024,0.325,777
Minnesota Twins,2024,0.321,742
New York Mets,2024,0.326,768
New York Yankees,2024,0.338,815
Oakland Athletics,2024,0.308,643
Philadelphia Phillies,2024,0.333,784
Pittsburgh Pirates,2024,0.305,665
San Diego Padres,2024,0.329,760
Seattle Mariners,2024,0.31,676
San Francisco Giants,2024,0.311,693
St. Louis Cardinals,2024,0.311,672
Tampa Bay Rays,2024,0.301,604
Texas Rangers,2024,0.306,683
Toronto Blue Jays,2024,0.314,671
Washington Nationals,2024,0.308,660
Arizona Diamondbacks,2023,0.324,711
Atlanta Braves,2023,0.365,947
Baltimore Orioles,2023,0.324,807
Boston Red Sox,2023,0.329,772
Chicago Cubs,2023,0.332,819
Chicago White Sox,2023,0.298,641
Cincinnati Reds,2023,0.334,783
Cleveland Guardians,2023,0.307,662
Colorado Rockies,2023,0.316,721
Detroit Tigers,2023,0.305,661
Houston Astros,2023,0.338,827
Kansas City Royals,2023,0.31,676
Los Angeles Angels,2023,0.323,739
Los Angeles Dodgers,2023,0.348,906
Miami Marlins,2023,0.319,666
Milwaukee Brewers,2023,0.315,728
Minnesota Twins,2023,0.331,778
New York Mets,2023,0.321,717
New York Yankees,2023,0.307,673
Oakland Athletics,2023,0.297,585
Philadelphia Phillies,2023,0.337,796
Pittsburgh Pirates,2023,0.312,692
San Diego Padres,2023,0.33,752
Seattle Mariners,2023,0.324,758
San Francisco Giants,2023,0.309,674
St. Louis Cardinals,2023,0.328,719
Tampa Bay Rays,2023,0.342,860
Texas Rangers,2023,0.345,881
Toronto Blue Jays,2023,0.329,746
Washington Nationals,2023,0.317,700
