Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,.334,107,.290,.182,3.5%,21.2%,8.8%,88.5,41.3%,22.9%,40.8%,27.9%,0.71,33.2%,50.2%,16.6%,2.8,0.1%,38.6,32%,76%,42%
Athletics,.327,106,.299,.178,3.6%,22.9%,8.2%,88.4,39.6%,23.8%,43.7%,25.3%,0.79,29.2%,53.0%,17.7%,-4.0,-1.1%,11.9,29%,74%,39%
Atlanta Braves,.321,103,.291,.155,3.1%,22.2%,9.3%,89.2,41.9%,23.2%,42.1%,26.6%,0.74,30.7%,51.6%,17.6%,-7.7,-3.0%,-7.7,29%,77%,43%
Baltimore Orioles,.309,96,.284,.159,3.2%,24.2%,8.0%,89.3,42.2%,22.7%,42.8%,27.3%,0.76,31.4%,50.7%,18.0%,-5.0,-1.3%,-29.0,29%,77%,42%
Boston Red Sox,.329,108,.307,.167,3.0%,22.9%,8.4%,90.0,45.0%,22.4%,43.6%,26.5%,0.78,29.4%,52.5%,18.1%,-1.0,-0.9%,62.3,32%,79%,44%
Chicago Cubs,.334,117,.283,.181,3.6%,20.7%,9.0%,88.7,40.1%,24.6%,38.3%,29.6%,0.63,32.7%,50.5%,16.8%,3.3,3.4%,90.4,32%,82%,40%
Chicago White Sox,.301,89,.279,.141,2.8%,22.8%,8.3%,88.7,40.3%,24.1%,38.4%,28.5%,0.63,30.8%,50.7%,18.5%,-13.5,-2.4%,-67.4,29%,80%,43%
Cincinnati Reds,.315,88,.298,.146,2.8%,23.3%,8.7%,87.9,38.4%,23.9%,42.2%,25.4%,0.75,31.3%,51.9%,16.8%,-8.9,-6.3%,-40.3,31%,78%,43%
Cleveland Guardians,.295,82,.268,.147,2.8%,22.6%,8.3%,87.7,35.9%,24.1%,38.0%,27.7%,0.63,35.0%,48.9%,16.1%,-4.7,-2.8%,-73.3,30%,79%,42%
Colorado Rockies,.302,77,.299,.149,2.7%,25.9%,6.7%,88.1,40.0%,25.1%,41.0%,27.3%,0.71,30.2%,53.5%,16.3%,-18.9,-2.0%,-169.1,28%,69%,47%
Detroit Tigers,.319,100,.298,.167,3.3%,23.9%,8.4%,89.2,40.9%,25.3%,37.9%,29.2%,0.61,31.7%,51.2%,17.1%,0.4,-2.0%,40.0,32%,79%,53%
Houston Astros,.315,97,.294,.149,3.0%,21.4%,7.7%,87.8,39.1%,23.7%,42.3%,25.4%,0.75,31.3%,52.5%,16.3%,-6.3,-7.3%,-38.6,29%,75%,42%
Kansas City Royals,.309,95,.281,.150,2.7%,18.2%,7.2%,89.0,40.9%,24.1%,39.1%,27.1%,0.66,30.5%,51.8%,17.7%,-9.3,-6.4%,-61.9,28%,73%,43%
Los Angeles Angels,.305,90,.276,.172,3.8%,27.1%,8.1%,88.7,40.3%,23.7%,40.4%,28.2%,0.69,30.2%,51.3%,18.5%,-3.4,-0.9%,-51.1,28%,77%,43%
